Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Clerodendrum (Glorybower; Bagﬂower),"<p>Clerodendrum is a large genus of <strong>more that 300 species</strong> of flowering plants in the<strong> family Lamiaceae</strong>, native to tropical and subtropical areas of the world. The genus includes shrubs, trees and climbers.<br/>
These plants come in various sizes, shapes and colors. They usually have large leaves and showy, brightly colored flowers that are fragrant in some species. Many species are cultivated for their colorful fruits and beautiful flowers that emerge in clusters. They make a great feature when planted in flower beds or borders.</p>","Climbers, Shrubs, Trees","The flowers come in various colors including red, purple, orange, pink, yellow, cream and white.",7-11,"Spring, Autumn, Winter, Summer","The plant usually grows from 90 cm (3 ft) to 12 m (40 ft) tall. Some species, such as Clerodendrum loribundum, can grow to 30 m (98 ft) in height.","Clerodendrum likes fertile, moist and well-drained soil, but is tolerant of most soil types. It is not particular as to soil pH.","Full sun, Partial sun",avarage,medium
Convallaria (Lily of the Valley),"<p>Convallaria is a small genus in the <strong>family Asparagaceae</strong>, native to temperate regions of the Northern Hemisphere. The genus is composed of <strong>three species</strong> – Convallaria majalis, Convallaria montana and Convallaria keiskei.<br/>
They live in shady places and are one of the most fragrant blooming plants in the spring and early summer. The plants produce delicate bell-shaped flowers and small red berries at maturity. The dark green foliage acts as a great backdrop for the small, pendant and waxy flowers that are usually white. Each flower has six petals fused into dangling bells along one side at the top of the flower stalk. Lily of the Valley is a great plant for a woodland garden or as ground cover in shady borders.</p>","Bulbs, Perennials","Convallaria blooms are usually white, but sometimes pink.",2-9,"Spring, Summer",Convallaria reaches about 30 cm (1 ft) in height.,"Convallaria will grow best in rich, moist and well drained soil. The plant is not fussy about the soil pH.","Partial sun, Shade",avarage,low
Coreopsis (Tickseed; Calliopsis),"<p>Coreopsis is a genus of<strong> about 100 species</strong> in the <strong>family Asteraceae</strong>, commonly found in prairies and woodlands of North, Central and South America.<br/>
Coreopsis produces vibrant, bright colored and daisy-like flowers that bloom in summer and fall. As they grow, the plants develop individual flowers or flowers arranged in terminal clusters. They are easy to maintain and are ideal for beds, borders, containers and groundcovers. Plant them in masses for a great looking effect!</p>","Annuals, Perennials","Although usually yellow in color, these flowers come in different colors including red, orange, pink, maroon,  lavender. Bi-colored flowers are also possible.",3-10,"Autumn, Summer",The different varieties of this plant range in height from 15 cm (6 inches) to 120 cm (4 ft).,Coreopsis will thrive in almost any type of soil that is well drained.,Full sun,avarage,low
Cosmos (Cosmos),"<p>Cosmos is a genus of <strong>about 40 species</strong> of flowering plants, mostly annuals. They belong to the <strong>Asteraceae family</strong>, one of the largest family of flowering plants.<br/>
These attractive plants, originated in tropical America, have big and bright daisy-like flowers and green leaves that grow in various shapes and patterns. If you are looking for a pretty and useful flower that attracts bees, birds and butterflies and require low maintenance, Cosmos is a perfect flower for you!</p>",Annuals,"These flowers come in amazing variety of bright colors, from pink, orange and scarlet to yellow and white.",2-11,"Autumn, Summer",Cosmos can grow between 30-120 cm (1-4 ft) tall.,"Cosmos likes moist and well drained soil, with a pH between 5.0 and 8.0.",Full sun,avarage,low
Crocosmia (Montbretia),"<p>Crocosmia is a genus of <strong>about 10 species</strong> in the <strong>family Iridaceae</strong>, native to southern and eastern Africa.<br/>
The plant has sword-shaped foliage and showy, brightly-colored, funnel-shaped flowers on arching stems. Crocosmia will bloom from July to October and attract much attention.</p>","Bulbs, Perennials","These flowers are usually in shades of red and orange, but can also be yellow.",5-10,"Autumn, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Crocosmia likes fertile, moist and well drained soil of any pH. However, it will grow in a wide range of conditions.","Full sun, Partial sun",avarage,low
Crocus (Crocus),"<p>Crocus is a genus of <strong>about 90 species</strong> of perennials in the <strong>Iridaceae family</strong>, native to Asia, North Africa, Mediterranean Europe and Alps.<br/>
Majority of species are abundant in the wild, from rocky mountains and alpine meadows to woodlands and scrublands. The flowers are cup-shaped and mainly composed of six petals. They come in a variety of colors and are often the first to bloom in late winter or early spring. The true arrival of spring is frequently marked by the bright colors of the Crocus.</p>",Bulbs,"These flowers are white, cream, yellow, blue and purple, and there are even striped varieties.",3-9,"Spring, Autumn, Winter",Crocus can reach between 20 cm (8 inches) and 30 cm (12 inches) in height.,"Although Crocus is tolerant of a wide range of soils, it will grow best in a well drained soil, with a pH between 6.0 and 8.0.","Full sun, Partial sun",avarage,low
Cyclamen (Sowbread),"<p>Cyclamen is a genus of <strong>about 20 species</strong> of tuberous perennials in the <strong>family Primulaceae</strong>. Most of them are native to Europe, Mediterranean.<br/>
These plants have attractive heart-shaped leaves and uniquely shaped, colorful, five-petaled flowers. They are one of the most popular house plants, but in right conditions they will also flourish outdoors. They will fascinate you with their beauty and perfection!</p>","Bulbs, Perennials","The flowers are usually white, red, rose, purple or pink.",4-9,"Autumn, Winter",Cyclamens are relatively small plants growing up to 15 cm (6 inches) in height.,"These plants prefer organically rich and well drained soil. Grow them in moist, but not waterlogged soil.",Partial sun,avarage,low
Cymbidium (Cymbidium),"<p>Cymbidium is a genus of <strong>about 50 species</strong> in the <strong>family Orchidaceae</strong>, native to high altitudes in Southeast Asia, though several species are native to northern Australia.<br/>
Cymbidium have a long stem that produces beautiful, exotic, waxy-looking flowers. These perennials grow on rocks or tree branches in nature. They are one of the most popular orchids in the world because of their easy maintenance, adaptability and spectacular flowers in a wide range of colors.</p>",Perennials,"Cymbidium comes in various colors such as white, green, yellow, brown, orange, pink and red.",5-10,"Spring, Autumn, Winter","Cymbidium range in size, from dwarf species to some reaching 1,5 metres (5 ft) in height.",This plant can grow in almost any kind of soil that is well drained.,Partial sun,avarage,low
Dahlia (Dahlia),"<p>Dahlia is a genus of tuberous-rooted herbs in the <strong>family of Asteraceae</strong>, native to Central America and South America.<br/>
There are <strong>42 species</strong> of this perennial plant and each of them come in different colors, sizes and shapes. Dahlia is considered as one of the most popular garden flowers because of its toothed, green leaves<b> </b>and attractive colorful flowers.</p>","Bulbs, Perennials","Dahlias bloom in all colors, except blue.",3-11,"Autumn, Summer","The species vary in height, from the 40 cm (1 ft) right up to 2 metres (7 ft).","Dahlia performs best in rich, moist and well drained soil that is slightly acidic.",Full sun,avarage,medium
Datura (Devil's Trumpet),"<p>Datura is a genus of <strong>about 10 species</strong> of flowering plants in the <strong>family Solanaceae</strong>, which are mainly native to North America.<br/>
Daturas can grow to 2 m (7 ft) in height, with leaves ranging from small to large and gray-green to dark green. They are either annuals or short-lived perennials, characterized by showy, erect, trumpet-shaped flowers. The flowers are usually white, but sometimes yellow, pinkish and purple. They first grow upright, and later incline downwards, emitting an intense fragrance which is strongly attractive to insects such as moths.</p>","Annuals, Perennials","The flowers are usually white, but may be yellow, pink and purple.",5-11,"Spring, Autumn, Summer",These plants can reach up to 2 m (7 ft) in height.,"Datura prefers rich, moist and well-drained soil. The ideal soil ph is between 6.0 and 7.0.","Full sun, Partial sun",avarage,low
Delosperma (Ice Plant),"<p>Delosperma, also known as Ice Plant, is a genus of <strong>about 150 species</strong> in the <strong>family Aizoaceae</strong>, native to southern and eastern Africa.<br/>
Delosperma is a small succulent that blooms from late spring into fall. It produces attractive foliage and colorful, daisy-like flowers. These ground covers are excellent for rock gardens and containers.</p>","Cactus - Succulents, Perennials","Delosperma comes in many colors including red, purple, orange, pink, yellow and white.",5-10,"Spring, Autumn, Summer",The plant grows up to 15 cm (6 inches) in height.,"Delosperma likes dry, sandy and poor soils with good drainage. It prefers soils with a pH level between 6.0 and 8.0.",Full sun,low,low
Delphinium (Larkspur),"<p>Delphinium, commonly known as Larkspur, is a genus of <strong>about 300 species</strong> in the <strong>family Ranunculaceae</strong>, native to Northern Hemisphere, with a few species found in Africa.<br/>
Delphiniums are widely known for their showy spikes, strong stems and beautiful blue flowers.</p>",Perennials,"Delphiniums come in several colors, including blue, red, pink, white, violet, and yellow, but blue is the most common.",3-7,"Autumn, Summer",The flower spikes can reach 30 cm to 180 cm (1 to 6 ft) tall.,"The plant grows best in moist, but well drained soil. The pH of the soil should be neutral to slightly alkaline.","Full sun, Partial sun",avarage,medium
